CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-22 [19951],ANDESITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,63.04,0.68,,16.52,,,,4.68,4.52,2.26,0.1,,2.57,4.85,0.17,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75567345,,90.24469853,19.98088875,,,11.4321608,14.72361809,22.57151171,62.86673028,18.36693664,,,,,80.91650169,359.848446,22.86878814,236.0459412,8.255914653,,,,,,,,,,,,3.995480989,527.7932482,18.86372359,42.4071775,5.537554538,21.92916666,4.473726455,1.124520899,4.031230361,,3.626422709,0.759876371,2.211968145,,2.292345626,0.351928016,5.626001361,0.483947791,,,,,,,,,14.93709744,,8.982930595,2.484397395,,,,,,,,,,,,,,,,,,,,,,,,,1002550
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-21 [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,64.32,0.6,,16.21,,,,4,3.65,1.65,0.1,,2.79,5,0.16,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00633016,,67.39300729,11.13108938,,,9.025679758,10.46266352,20.33646492,60.3311244,17.68833204,,,,,91.21100195,327.229673,23.55273699,258.2259435,7.21053604,,,,,,,,,,,,4.470821938,565.7364708,20.55427111,44.74816834,5.771311556,22.51332896,4.526223778,1.133767105,4.044474036,,3.758720646,0.761000319,2.289831815,,2.417905702,0.366383261,6.183158983,0.493286233,,,,,,,,,16.27318128,,10.11865791,2.839585641,,,,,,,,,,,,,,,,,,,,,,,,,1002551
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-12 [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,64.9,0.58,,16.06,,,,3.98,3.76,1.57,0.1,,2.81,4.89,0.16,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.43187595,,67.31698017,11.34977123,,,7.53685816,2.681748856,18.52384661,56.44526842,17.44407728,,,,,95.46263345,311.33737,25.02541942,271.7907982,6.792391723,,,,,,,,,,,,5.026690391,578.113879,20.2147941,44.23474002,5.784576767,22.87112354,4.715302491,1.162938485,4.225978648,,3.882816472,0.762582613,2.357651246,,2.383070666,0.362226741,6.240467717,0.425775292,,,,,,,,,16.19217082,,10.51728521,2.942297916,,,,,,,,,,,,,,,,,,,,,,,,,1002552
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-29C [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,64.96,0.59,,16.11,,,,3.92,3.77,1.62,0.1,,2.82,4.95,0.16,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.75844091,,68.16658391,10.70630586,,,7.503723932,3.562562066,20.11054451,56.31334295,16.91906653,,,,,96.89672294,316.02114,25.55238332,268.7996524,6.961177944,,,,,,,,,,,,4.959036743,585.66286,20.46921549,44.52463121,5.77334285,23.17527309,4.946623635,1.12959285,4.350794439,,3.897715988,0.775819265,2.482621648,,2.47020854,0.372393247,6.330685204,0.440665343,,,,,,,,,15.46052632,,10.45183714,3.035004965,,,,,,,,,,,,,,,,,,,,,,,,,1002553
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-29A [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,64.98,0.59,,16.36,,,,4.02,3.71,1.63,0.1,,2.86,5.02,0.16,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.85650668,,66.38421573,10.92281049,,,7.285997031,3.030677882,21.19231124,57.44533034,17.25630876,,,,,97.61256804,312.39199,25.17936665,274.7340426,6.770635532,,,,,,,,,,,,5.022266205,589.2627412,20.45398318,44.7583377,5.734846611,23.34240475,4.89238001,1.144235527,4.27387432,,3.952251361,0.742206828,2.405987135,,2.368876794,0.371103414,6.253092528,0.445324097,,,,,,,,,16.00074221,,10.50841168,2.937902029,,,,,,,,,,,,,,,,,,,,,,,,,1002554
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-10 [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,65.01,0.59,,15.98,,,,4.14,3.62,1.53,0.1,,2.87,4.96,0.16,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.13793934,,64.71473279,8.564034665,,,7.029369283,2.696196437,21.25425501,56.19974473,16.88733751,,,,,95.4622051,294.48632,24.40418873,263.354598,6.952463902,,,,,,,,,,,,5.031295137,568.7409726,19.65575349,43.72077311,5.568223399,22.71906596,4.814636495,1.053201733,4.309099663,,3.8456909,0.752286952,2.389263361,,2.425373134,0.361097737,6.162734714,0.409244102,,,,,,,,,15.68367838,,10.35146846,2.954983149,,,,,,,,,,,,,,,,,,,,,,,,,1002555
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-02 [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,65.1,0.59,,16.07,,,,3.92,3.83,1.57,0.1,,2.82,4.89,0.16,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.52644964,,70.59384537,12.43641913,,,7.559766022,3.007375381,22.53600743,58.59746205,17.81536114,,,,,93.34944049,318.1991,24.24338759,251.2652594,6.943049456,,,,,,,,,,,,4.972024415,570.1424212,21.13428281,45.0822933,5.755824008,22.97812818,4.590539166,1.150813835,4.215412004,,3.986520855,0.788402848,2.409715158,,2.365208545,0.362410987,6.027466938,0.457782299,,,,,,,,,15.93336724,,10.28102747,2.943794507,,,,,,,,,,,,,,,,,,,,,,,,,1002556
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-27 [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,65.37,0.57,,16.31,,,,3.79,3.41,1.5,0.1,,2.93,5.04,0.16,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.46151911,,60.73943662,9.268108652,,,6.727867203,2.577967807,18.2128434,57.10044044,18.82545272,,,,,102.0623742,307.1491,25.63506036,282.9413984,7.517428541,,,,,,,,,,,,5.357142857,603.6971831,20.83752515,46.05885551,5.97422661,23.76131791,4.866700201,1.182092555,4.118460765,,3.961267606,0.760814889,2.420774648,,2.552816901,0.370975855,6.576961771,0.48415493,,,,,,,,,16.98314889,,10.96579477,3.106136821,,,,,,,,,,,,,,,,,,,,,,,,,1002557
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-28 [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,66.07,0.56,,16.1,,,,3.59,3.19,1.28,0.1,,3.07,5.16,0.15,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4244779,,53.29043225,7.455075279,,,5.652015542,1.851627003,17.20534313,55.38585043,17.18674114,,,,,104.9781447,273.5614,25.71029626,289.2119961,7.122558094,,,,,,,,,,,,5.475959203,618.3341428,21.85526955,46.91276117,6.040590092,24.15614376,4.832442933,1.110976202,4.273919378,,3.982515784,0.771005342,2.489072365,,2.519426906,0.394609034,6.811559009,0.467459932,,,,,,,,,25.50995629,,11.28581836,3.169014085,,,,,,,,,,,,,,,,,,,,,,,,,1002558
[19951],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / QUIZAPU / PACIFIC OCEAN,LAVA FROM SURFACE FLOW,-35.653,-35.653,-70.761,-70.761,SUBAERIAL,,,s MH-12-13 [19951],DACITE [19951],,,,ARCHEAN [19951],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [19951] ,66.21,0.56,,15.9,,,,3.71,3.17,1.29,0.09,,3.04,5.06,0.15,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.62793068,,53.19189602,7.390417941,,,5.536442406,2.650356779,14.29132071,53.18547836,17.31014271,,,,,105.2624873,271.37319,25.78363914,290.5135066,7.083831019,,,,,,,,,,,,5.415392457,607.6197757,21.39398573,46.74500159,6.047043833,24.00611621,4.873853211,1.095820591,4.446992864,,4.071100917,0.783639144,2.48470948,,2.52930683,0.395005097,6.804281346,0.445973496,,,,,,,,,16.52013252,,11.48700306,3.230122324,,,,,,,,,,,,,,,,,,,,,,,,,1002559
