CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / HUELEMOLLE / PACIFIC OCEAN,,-39.28,-39.35,-71.78,-71.84,SUBAERIAL,,,s HUEL-1 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,49.96,1.106,,17.73,,7.7,2.18,,9.4,5.66,0.156,,0.82,3.17,0.41,,,,,,,,,,,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,593,21,132,7,,,,,,,,,,,,,305,22.7,48.1,5.87,24,5.1,1.49,4.7,0.7,4.2,0.8,2.5,0.36,2.3,0.36,,0.4,,,,,,,,,9,,2,0.6,0.512848,,,0.703935,,,,,,,,,,,,,,,,,,,,,1014369
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / HUELEMOLLE / PACIFIC OCEAN,,-39.28,-39.35,-71.78,-71.84,SUBAERIAL,,,s HUEL-3 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,50.95,1.129,,18.22,,6.6,3.53,,9.55,5.67,0.161,,0.83,3.23,0.4,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,613,21,137,7,,,,,,,,,,,,,315,23.1,49.3,6.13,24.9,5.2,1.49,4.6,0.7,4,0.8,2.3,0.34,2.2,0.37,,0.3,,,,,,,,,10,,2.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,1014370
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / HUELEMOLLE / PACIFIC OCEAN,,-39.28,-39.35,-71.78,-71.84,SUBAERIAL,,,s HUEL-4 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,51.77,1.194,,17.76,,7.3,2.88,,8.91,4.6,0.159,,0.93,3.56,0.43,,,,,,,,,,,,,,,,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,627,21,143,7,,,,,,,,,,,,,343,23.1,49.7,6.03,24.5,5.2,1.53,4.9,0.7,4.1,0.8,2.5,0.36,2.4,0.37,,0.4,,,,,,,,,10,,2.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,1014371
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / HUELEMOLLE / PACIFIC OCEAN,,-39.28,-39.35,-71.78,-71.84,SUBAERIAL,,,s HUEL-6 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,50.12,1.139,,18.19,,6,3.74,,9,4.74,0.153,,0.83,3.33,0.43,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,633,20,136,7,,,,,,,,,,,,,314,22.6,47.9,5.92,23.6,5,1.45,4.7,0.7,4,0.8,2.4,0.35,2.2,0.35,,0.3,,,,,,,,,10,,2.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,1014372
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / LA BARDA / PACIFIC OCEAN,,-39.22,-39.22,-71.79,-71.79,SUBAERIAL,,,s BARDA1-2 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,50.45,1.077,,16.82,,6.9,3.09,,9.07,7.59,0.154,,0.74,3.13,0.33,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,672,18,91,3,,,,,,,,,,,,,260,15,33,4.33,18.2,4,1.18,3.5,0.6,3.2,0.6,1.9,0.27,1.7,0.28,,0.1,,,,,,,,,7,,2.2,0.6,0.512873,,,0.703837,,,,,,,,,,,,,,,,,,,,,1014373
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / RELICURA / PACIFIC OCEAN,,-39.26,-39.27,-71.65,-71.65,SUBAERIAL,,,s REL1-2 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,51.22,1.167,,17.55,,8.4,2.61,,8.46,5.79,0.163,,1.11,3.29,0.41,,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,614,21,154,6,,,,,,,,,,,,,397,24.4,50.8,6.13,25.3,5.3,1.48,4.8,0.7,4.2,0.8,2.4,0.34,2.1,0.34,,0.4,,,,,,,,,9,,3.3,0.8,0.512814,,,0.704005,,,,,,,,,,,,,,,,,,,,,1014374
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / CANI / PACIFIC OCEAN,,-39.28,-39.28,-71.73,-71.73,SUBAERIAL,,,s CANI-5 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,50.49,1.023,,17.32,,7.3,2.61,,8.45,6.65,0.148,,0.85,3.17,0.32,,,,,,,,,,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,582,18,118,4,,,,,,,,,,,,,305,17.7,37,4.59,18.4,4.1,1.21,3.8,0.6,3.3,0.6,1.8,0.27,1.7,0.27,,0.2,,,,,,,,,8,,1.8,0.5,0.512913,,,0.703978,,,,,,,,,,,,,,,,,,,,,1014375
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / REDONDO / PACIFIC OCEAN,,-39.27,-39.28,-71.72,-71.72,SUBAERIAL,,,s RED-5 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,50.87,0.994,,17.24,,7.9,2.01,,9.07,7.35,0.153,,0.79,3.08,0.29,,,,,,,,,,,,,,,,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,18,106,4,,,,,,,,,,,,,280,17.1,35.8,4.46,18.1,4.1,1.17,3.7,0.6,3.3,0.7,1.9,0.28,1.8,0.29,,0.3,,,,,,,,,7,,2,0.5,0.512821,,,0.703963,,,,,,,,,,,,,,,,,,,,,1014376
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / CORDILLERA CANI / PACIFIC OCEAN,,-39.25,-39.25,-71.68,-71.68,SUBAERIAL,,,s CORD2-2 [19914],BASALT [19914],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,49.85,1.165,,17.28,,4.8,4.72,,8.19,6.42,0.152,,1.23,3.28,0.44,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,652,21,157,10,,,,,,,,,,,,,440,26.4,54.1,6.58,26.6,5.4,1.62,4.9,0.7,4.1,0.8,2.3,0.35,2.2,0.34,,0.6,,,,,,,,,9,,3.3,0.9,0.512801,,,0.703973,,,,,,,,,,,,,,,,,,,,,1014377
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / VILLARRICA (RUCAPILLAN) / 1971 VILLARRICA LAVA FLOW / PACIFIC OCEAN,1971 VILLARRICA LAVA,-39.43,-39.47,-71.95,-72.05,SUBAERIAL,,,s 1971 N6 [19914],"ANDESITE, BASALTIC [19914]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,52.85,1.105,,16.76,,7.2,3.05,,9.76,6.39,0.157,,0.64,3.06,0.21,,,,,,,,,,,,,,,,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,414,22,85,1,,,,,,,,,,,,,201,6.9,17.5,2.56,12,3.4,0.97,3.6,0.6,3.7,0.8,2.3,0.37,2.4,0.34,,0,,,,,,,,,6,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,1014378
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / VILLARRICA (RUCAPILLAN) / 1971 VILLARRICA LAVA FLOW / PACIFIC OCEAN,1971 VILLARRICA LAVA,-39.43,-39.47,-71.95,-72.05,SUBAERIAL,,,s 1971 10 M1 [19914],"ANDESITE, BASALTIC [19914]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,51.92,1.117,,16.68,,6.6,3.17,,9.57,5.95,0.154,,0.64,3.01,0.23,,,,,,,,,,,,,,,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,420,22,86,1,,,,,,,,,,,,,199,7.2,17.8,2.67,12.3,3.5,0.99,3.7,0.6,3.8,0.8,2.3,0.36,2.3,0.33,,0,,,,,,,,,7,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,1014379
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / VILLARRICA (RUCAPILLAN) / 1971 VILLARRICA LAVA FLOW / PACIFIC OCEAN,1971 VILLARRICA LAVA,-39.43,-39.47,-71.95,-72.05,SUBAERIAL,,,s 1971 09 [19914],"ANDESITE, BASALTIC [19914]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,52.47,1.113,,16.71,,6.7,3.31,,9.61,6.1,0.154,,0.65,3.06,0.23,,,,,,,,,,,,,,,,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,420,22,87,1,,,,,,,,,,,,,200,7.3,17.8,2.64,12.5,3.6,1.02,3.9,0.7,3.8,0.8,2.3,0.35,2.3,0.35,,0.1,,,,,,,,,7,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,1014380
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / VILLARRICA (RUCAPILLAN) / 1971 VILLARRICA LAVA FLOW / PACIFIC OCEAN,1971 VILLARRICA LAVA,-39.43,-39.47,-71.95,-72.05,SUBAERIAL,,,s 1971 30 [19914],"ANDESITE, BASALTIC [19914]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,52.93,1.132,,16.77,,7.1,2.83,,9.63,6.02,0.154,,0.65,3.08,0.18,,,,,,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,428,22,87,2,,,,,,,,,,,,,198,8,19.7,2.72,13.3,3.6,1.03,3.7,0.7,3.9,0.8,2.3,0.35,2.2,0.35,,0,,,,,,,,,8,,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1014381
[19914],CONVERGENT MARGIN,ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / VILLARRICA (RUCAPILLAN) / 1971 VILLARRICA LAVA FLOW / PACIFIC OCEAN,1971 VILLARRICA LAVA,-39.43,-39.47,-71.95,-72.05,SUBAERIAL,,,s R1971 DV [19914],"ANDESITE, BASALTIC [19914]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19914] ,51.76,1.13,,16.59,,5.5,4.55,,9.55,6.1,0.154,,0.63,2.98,0.2,,,,,,,,,,,,,,,,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,417,21,85,1,,,,,,,,,,,,,197,7,17.3,2.62,12.5,3.2,0.93,3.5,0.6,3.6,0.8,2.4,0.37,2.3,0.32,,0,,,,,,,,,6,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,1014382
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,QUILCA,-17,-17,-73,-73,SUBAERIAL,,,s 626 [4433],"GNEISS, PYROXENE [4433]",,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7629,,,,,,,,,,,,,,,,,,,,,101643
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,QUILCA,-17,-17,-73,-73,SUBAERIAL,,,s 627 [4433],"GNEISS, PYROXENE [4433]",,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769,,,,,,,,,,,,,,,,,,,,,101644
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,ROADSIDE QUARRY BETWEEN MOLLENDO AND LA JOYA,-16,-18,-72,-73,SUBAERIAL,,,s 628 [4433],GNEISS [4433],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7249,,,,,,,,,,,,,,,,,,,,,101645
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,ROADSIDE QUARRY BETWEEN MOLLENDO AND LA JOYA,-16,-18,-72,-73,SUBAERIAL,,,s 629 [4433],GNEISS [4433],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7943,,,,,,,,,,,,,,,,,,,,,101646
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,5 KM SOUTH OF MOLLENDO,-17,-17,-72,-72,SUBAERIAL,,,s 630 [4433],"GNEISS, BIOTITE [4433]",,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7163,,,,,,,,,,,,,,,,,,,,,101648
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,7 KM WEST OF CAMANA,-16.5,-17,-72,-73,SUBAERIAL,,,s 631 [4433],GNEISS [4433],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7182,,,,,,,,,,,,,,,,,,,,,101649
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,NORTH OF RIO OCONA,-16,-16,-74,-74,SUBAERIAL,,,s 632 [4433],SCHIST [4433],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7728,,,,,,,,,,,,,,,,,,,,,101652
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,,-16.333,-16.333,-74,-74,SUBAERIAL,,,s 634 [4433],GNEISS [4433],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7196,,,,,,,,,,,,,,,,,,,,,101653
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,15 KM NORTH OF ATICO,-16,-16,-74,-74,SUBAERIAL,,,s 635 [4433],GRANITE [4433],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7094,,,,,,,,,,,,,,,,,,,,,101656
[4433],CONVERGENT MARGIN,ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / PACIFIC OCEAN,MARCONA,-15.5,-15.5,-75.5,-75.5,SUBAERIAL,,,s 637 [4433],GNEISS [4433],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4433] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8202,,,,,,,,,,,,,,,,,,,,,101658
[19324],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / YANAURCU / PACIFIC OCEAN,CERRO NEGRO GROUP,0.494706,0.494706,-78.345535,-78.345535,SUBAERIAL,3910,3910,s PB12001 [19324],ANDESITE [19324],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19324] ,61.10720448,0.520572515,,17.35909118,0,,,6.17,6.226848163,2.803082774,0.110121109,0,1.551706536,3.34367731,0.140154139,,,,,,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.30566667,,183.1503333,7.324666667,,,17.22566667,10.138,86.67333333,192.72,,,2.95,,,30.59666667,756,11.76866667,73.62033333,2.399666667,1.035666667,,,,,,,,0.230666667,,,0.883,728.6403333,12.58866667,23.22566667,2.951333333,12.799,2.686333333,0.737666667,2.337333333,0.343333333,2.086,0.400666667,1.174,0.185,1.257,0.193,2.096333333,0.158,0.556333333,,,,,,,0.066666667,8.536333333,,4.450666667,1.986666667,0.512909226,,,0.703953335,,19.11615993,,15.62560673,,38.84873348,,,,,,,,,,,,,,,1017946
[19324],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / YANAURCU / PACIFIC OCEAN,CERRO NEGRO GROUP,0.49513,0.49513,-78.345202,-78.345202,SUBAERIAL,3903,3903,s PB12002 [19324],ANDESITE [19324],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19324] ,61.175526,0.520728,,17.404332,0,,,6.21,6.188652,2.813934,0.110154,0,1.55217,3.324648,0.15021,,,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.18133333,,198.0403333,7.315666667,,,17.54333333,9.24,62.37,164.0196667,,,2.602666667,,,27.933,762,11.97366667,73.99233333,2.316666667,1.954,,,,,,,,0.269666667,,,0.712666667,723.7923333,12.29766667,23.05633333,2.896666667,12.23533333,2.795333333,0.754666667,2.418333333,0.296333333,2.030333333,0.395666667,1.125666667,0.17,1.098666667,0.171333333,1.955666667,0.140333333,0.220666667,,,,,,,0.064666667,8.198666667,,4.193666667,1.866,0.512933477,,,0.703958125,,19.10197958,,15.61925911,,38.82751402,,,,,,,,,,,,,,,1017947
[19324],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / YANAURCU / PACIFIC OCEAN,CERRO NEGRO GROUP,0.491232,0.491232,-78.33909,-78.33909,SUBAERIAL,4028,4028,s PB12008 [19324],ANDESITE [19324],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19324] ,59.89111022,0.566981113,,17.26805636,0,,,6.69,6.296474468,3.16315779,0.119364445,0,1.521896672,3.123369641,0.149205556,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.84366667,,176.96,12.22133333,,,20.52433333,14.53966667,49.94166667,148.346,,,5.855333333,,,25.43,768,10.95433333,69.30366667,2.275333333,0.744333333,,,,,,,,0.248,,,1.157333333,751.1163333,11.91433333,22.982,2.742666667,11.62533333,2.646666667,0.803,2.271666667,0.289,2.113666667,0.403333333,1.136666667,0.164333333,1.093666667,0.155333333,2.101333333,0.149666667,0.355666667,,,,,,,0.101666667,9.089666667,,4.897333333,1.976333333,0.512916557,,,0.703976084,,19.12667534,,15.62164197,,38.85185423,,,,,,,,,,,,,,,1017948
[19324],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / YANAURCU / PACIFIC OCEAN,CERRO NEGRO GROUP,0.487481,0.487481,-78.336946,-78.336946,SUBAERIAL,4210,4210,s PB12009 [19324],ANDESITE [19324],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19324] ,61.78856886,0.49909991,,17.32874887,0,,,5.92,5.809522952,2.615283528,0.10980198,0,1.587137714,3.353951395,0.139747975,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.80333333,,167.679,6.892333333,,,16.675,8.197,47.34733333,147.4236667,,,2.474666667,,,27.36966667,721,10.85433333,73.32266667,2.294,0.513,,,,,,,,0.295666667,,,0.799666667,746.172,11.797,22.79966667,2.806333333,11.91933333,2.573666667,0.761333333,2.364333333,0.313,1.946333333,0.394333333,1.045666667,0.194666667,1.149,0.174333333,2.175333333,0.148333333,0.238333333,,,,,,,0.053333333,8.752,,4.192666667,1.923,0.512924787,,,0.703952555,,19.11397718,,15.62570084,,38.84577293,,,,,,,,,,,,,,,1017949
[19324],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / YANAURCU / PACIFIC OCEAN,CERRO NEGRO GROUP,0.488776,0.488776,-78.341479,-78.341479,SUBAERIAL,4087,4087,s PB12010 [19324],ANDESITE [19324],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [19324] ,61.00884615,0.510408654,,17.29384615,0,,,6.22,6.255008013,2.832267628,0.120096154,0,1.551241987,3.272620192,0.160128205,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.38333333,,196.6626667,7.364333333,,,17.659,10.36866667,56.79966667,142.8666667,,,1.924666667,,,27.86333333,754,12.13,72.76033333,2.264,1.053333333,,,,,,,,0.236,,,0.866666667,704.506,12.193,23.44733333,2.947333333,12.14666667,2.646,0.768,2.392,0.318333333,2.130666667,0.452333333,1.21,0.187,1.255333333,0.179666667,2.070666667,0.163666667,0.409,,,,,,,0.081,8.656333333,,4.452666667,1.985333333,0.512928247,,,0.703955105,,19.12091573,,15.62327994,,38.8495004,,,,,,,,,,,,,,,1017950
